Entity,Year,share_gdp_primary,share_gdp_secondary,share_gdp_tertiary,share_pop_tertiary,primary_rate,secondary_rate
Benin,2004,1.79595005512238,1.00648999214172,0.683499991893768,,50.8249092102051,
Benin,2005,1.66907000541687,1.191890001297,0.769829988479614,1.36,,
Benin,2006,1.86346995830536,0.8644700050354,0.723100006580353,,,24.9243202209473
Benin,2007,1.84833002090454,0.626470029354095,0.651160001754761,,,
Benin,2008,2.14402008056641,0.916630029678345,0.669439971446991,,61.9895782470703,
Benin,2009,2.42622995376587,0.938740015029907,0.780889987945557,,,
Benin,2010,2.65676999092102,1.40733003616333,0.784789979457855,2.01,64.8393478393555,
Benin,2012,2.49990010261536,1.07425999641418,1.21028995513916,,70.5225677490234,
Benin,2013,2.29116010665894,1.20497000217438,0.961449980735779,,75.6854095458984,45.1582183837891
Benin,2014,2.14399003982544,1.15002000331879,0.891480028629303,,76.3487930297852,41.8521385192871
Bermuda,1998,0.713360011577606,1.28324997425079,0.0398599989712238,,,
Bermuda,2004,0.709909975528717,0.930000007152557,,,95.3980102539063,90.1891326904297
Bermuda,2005,0.810370028018951,1.03982996940613,,,95.363410949707,90.3614501953125
Bermuda,2010,0.815599977970123,1.2009299993515,0.356539994478226,,99.8757781982422,
Bermuda,2014,0.533720016479492,0.790390014648438,0.325080007314682,,79.3103408813477,
Bhutan,2004,1.24276995658875,,,,62.8011207580566,40.3157691955566
Bhutan,2005,1.57959997653961,3.60583996772766,0.99576997756958,,69.1779937744141,
Bhutan,2008,1.12118005752563,2.6738600730896,0.930610001087189,,81.3434295654297,51.0242385864258
Bhutan,2009,1.37896001338959,2.59188008308411,0.61216002702713,,83.4126129150391,56.9214706420898
Bhutan,2010,1.20465004444122,2.16824007034302,0.608120024204254,,89.6181106567383,67.6096267700195
Bhutan,2011,1.46613001823425,2.63983011245728,0.513610005378723,,90.8532028198242,68.2179336547852
Bhutan,2013,1.21968996524811,3.0496199131012,1.01874005794525,,97.6982574462891,71.7110137939453
Bhutan,2014,1.88734996318817,3.28683996200562,0.60971999168396,,97.0199813842773,77.7243804931641
Bolivia,1998,2.34657001495361,1.13416004180908,1.49337005615234,,85.2401504516602,64.8927688598633
Bolivia,1999,2.51810002326965,1.19418001174927,1.36889004707336,,97.6855621337891,75.1930618286133
Bolivia,2000,2.21570992469788,1.0108300447464,1.57913994789124,5.27,100.352691650391,79.1120376586914
Bolivia,2001,2.08067011833191,1.11918997764587,1.56667995452881,,102.055992126465,84.2727279663086
Bolivia,2002,2.72834992408752,1.45893001556396,1.56307995319366,,107.034202575684,89.6426162719727
Bolivia,2003,2.81489992141724,1.55107998847961,1.37867999076843,,106.941253662109,91.0239791870117
Bolivia,2006,2.21410989761353,1.61540997028351,1.52778005599976,,107.142616271973,94.1494293212891
Bolivia,2008,2.89272999763489,1.83475995063782,2.04764008522034,,102.794792175293,93.4954071044922
Bolivia,2009,3.27302002906799,2.10081005096436,2.40340995788574,,,88.7898635864258
Bolivia,2010,2.99575996398926,1.99805998802185,2.26945996284485,8.43,,87.0442428588867
Bolivia,2011,2.4941999912262,2.0034499168396,1.98104000091553,,,85.3613662719727
Bolivia,2012,2.41546010971069,2.08507990837097,1.60609996318817,,,87.7177200317383
Bolivia,2013,2.20580005645752,2.08489990234375,1.68967998027802,,,89.6545486450195
Bolivia,2014,2.35821008682251,2.64754009246826,1.91040003299713,,,
Botswana,2005,3.20687007904053,4.23042011260986,2.97579002380371,1.79,94.7579116821289,84.0028991699219
Botswana,2007,2.4382700920105,3.91478991508484,2.43367004394531,,94.6860275268555,86.0569229125977
Botswana,2009,1.71680998802185,3.14952993392944,3.99856996536255,,96.4300384521484,
Brazil,1998,1.55915999412537,1.78187000751495,1.01603996753693,,,
Brazil,1999,1.28578996658325,1.34952998161316,0.797309994697571,,,
Brazil,2000,1.21616005897522,1.51391005516052,0.869289994239807,3.7,,
Brazil,2001,1.1530100107193,1.54031002521515,0.829670011997223,,112.229606628418,
Brazil,2002,1.05606997013092,1.51135003566742,0.883279979228973,,114.199432373047,
Brazil,2004,1.3082400560379,1.56373000144958,0.751609981060028,,100.684646606445,75.8527221679688
Brazil,2005,1.52277994155884,1.7364399433136,0.850350022315979,3.73,,
Brazil,2006,1.55956995487213,2.13243007659912,0.811529994010925,,,
Brazil,2007,1.6029599905014,2.17332005500793,0.805079996585846,,,
Brazil,2008,1.68300998210907,2.34973001480103,0.838890016078949,,,
Brazil,2009,1.77162003517151,2.44076991081238,0.874830007553101,,,71.6249313354492
Brazil,2010,1.76909005641937,2.52238988876343,0.926069974899292,5.63,,
Brazil,2011,1.6808500289917,2.58956003189087,0.962140023708344,,,71.7501220703125
Brazil,2012,1.70888996124268,2.63888001441956,0.967880010604858,,,
Bulgaria,1998,0.645539999008179,1.23536002635956,0.404130011796951,,94.1111907958984,
Bulgaria,2001,0.705879986286163,1.58726000785828,0.5382199883461,,102.623489379883,60.5247688293457
Bulgaria,2002,0.68231999874115,1.5901700258255,0.515839993953705,,97.9309692382813,58.3136711120605
Bulgaria,2003,0.766470015048981,1.78966999053955,0.790170013904572,,99.5955200195313,62.9030914306641
Bulgaria,2004,0.453319996595383,0.927450001239777,0.494720011949539,,100.413108825684,62.5806999206543
Bulgaria,2005,0.83542001247406,1.89040994644165,0.693840026855469,11.76,99.2232894897461,65.8050384521484
Bulgaria,2006,0.771269977092743,1.74826002120972,0.676339983940125,,97.3823623657227,64.0702590942383
Bulgaria,2007,0.72596001625061,1.62660002708435,0.600250005722046,,97.4856185913086,62.2056884765625
Bulgaria,2008,0.795870006084442,1.78709995746613,0.815739989280701,,89.6172332763672,58.1575317382813
Bulgaria,2009,0.79900997877121,1.74409997463226,0.888629972934723,,94.1165618896484,53.7567291259766
Bulgaria,2010,0.76691997051239,1.68266999721527,0.579779982566834,13.07,105.162818908691,49.9774513244629
Bulgaria,2011,0.664600014686584,1.48752999305725,0.609839975833893,,104.923179626465,44.521858215332
Bulgaria,2012,0.656359970569611,1.37968003749847,0.627359986305237,,98.949333190918,40.3238105773926
Burkina Faso,2005,3.15515995025635,0.457650005817413,0.424430012702942,,31.7399997711182,9.89393997192383
Burkina Faso,2006,2.97777009010315,0.512870013713837,0.495629996061325,,32.8057098388672,10.8982801437378
Burkina Faso,2007,3.07590007781982,0.721300005912781,0.697549998760223,,34.9692192077637,11.7040596008301
Burkina Faso,2010,2.37681007385254,0.709089994430542,0.742129981517792,,47.0758018493652,16.4356594085693
Burkina Faso,2011,2.80837988853455,0.854669988155365,0.686460018157959,,,18.0736694335938
Burkina Faso,2012,2.45750999450684,0.742009997367859,0.709410011768341,,57.2386703491211,20.1663703918457
Burkina Faso,2013,2.70869994163513,0.686909973621368,0.983959972858429,,62.1108283996582,21.4893798828125
Burkina Faso,2014,2.94353008270264,0.760490000247955,0.553040027618408,,60.532470703125,24.7465991973877
Burundi,1999,1.2804399728775,1.29855000972748,0.830560028553009,,,
Burundi,2000,0.999480009078979,0.926900029182434,0.712279975414276,0.24,23.7980995178223,
Burundi,2001,1.16393995285034,0.926580011844635,0.806309998035431,,24.2540702819824,
Burundi,2002,1.28817999362946,0.960969984531403,0.749180018901825,,24.7322406768799,
Burundi,2004,1.89709997177124,1.10300004482269,0.684679985046387,,31.3433494567871,7.68856000900269
Burundi,2005,1.8724000453949,1.20244002342224,0.555930018424988,0.34,33.5344314575195,8.08193016052246
Burundi,2008,2.6895899772644,1.26524996757507,1.10152995586395,,40.5992317199707,11.8777198791504
Burundi,2009,3.36638998985291,1.57316994667053,1.15939998626709,,46.8626098632813,16.1927394866943
Burundi,2010,3.08516001701355,1.89637994766235,1.22500002384186,0.54,49.633731842041,16.3439197540283
Burundi,2011,2.98093008995056,1.64075994491577,1.04719996452332,,54.0505294799805,18.1198902130127
Burundi,2012,2.56094002723694,1.40959000587463,1.19789004325867,,60.3679008483887,19.7576999664307
Burundi,2013,2.45991992950439,1.4520800113678,1.31219005584717,,67.8279113769531,23.042459487915
Cambodia,1998,0.873820006847382,0.291720002889633,0.0574899986386299,,32.3718605041504,
Cambodia,2000,1.04419994354248,,,0.23,,
Cambodia,2001,1.28205001354218,0.193829998373985,0.0853599980473518,,51.0964393615723,16.4300994873047
Cambodia,2002,1.10490000247955,,,,59.6919593811035,23.5273494720459
Cambodia,2010,1.08896994590759,0.457720011472702,0.378529995679855,1.32,84.8740768432617,49.232608795166
Cambodia,2012,0.769569993019104,0.688989996910095,0.0721800029277802,,92.8612976074219,44.672908782959
Cambodia,2013,1.00457000732422,0.839559972286224,0.123290002346039,,93.8563766479492,43.6118011474609
Cameroon,2005,1.09513998031616,1.62382996082306,0.394879996776581,1.15,,
Cameroon,2006,1.14225995540619,1.50313997268677,0.31029000878334,,49.5192794799805,18.2339096069336
Cameroon,2007,1.24515998363495,1.7637699842453,0.357320010662079,,52.6610794067383,19.6030502319336
Cameroon,2008,0.962589979171753,1.59926998615265,0.26172000169754,,68.072380065918,25.8271999359131
Cameroon,2009,1.1832400560379,1.86470997333527,0.298460006713867,,67.83056640625,24.276309967041
Cameroon,2010,1.13183999061584,1.74733996391296,0.299600005149841,1.64,69.8583068847656,
Cameroon,2011,0.998319983482361,1.49195003509521,0.460790008306503,,69.1738967895508,39.9409408569336
Cameroon,2012,1.07325994968414,1.5584100484848,0.230399996042252,,72.9751663208008,
Cameroon,2013,1.02597999572754,,0.3091099858284,,,41.0901298522949
Central African Republic,2006,0.742290019989014,0.335599988698959,0.322899997234344,,26.461009979248,
Central African Republic,2007,0.629719972610474,0.381390005350113,0.279410004615784,,,
Central African Republic,2009,0.631569981575012,0.344819992780685,0.29611998796463,,38.1669006347656,9.3444299697876
Central African Republic,2010,0.641589999198914,0.289029985666275,0.246619999408722,0.83,40.3196907043457,
Chad,1998,0.948189973831177,0.42739999294281,0.27344998717308,,,
